"標準語","大分弁","カテゴリ","備考"
"辛い","カレー","音韻（母音融合）","ai → eː"
"高い","タケー","音韻（母音融合）","ai → eː"
"白い","シリー","音韻（母音融合）","oi → iː"
"明るい","アカリー","音韻（母音融合）","ui → iː"
"熱い","アチー","音韻（母音融合）","ui → iː"
"姪","ミー","音韻（母音融合）","ei → iː"
[cite_start]"大根","デーコン","音韻（母音融合）","名詞の融合は高齢層で稀 [cite: 25]"
[cite_start]"雑巾","どうきん","音韻（子音変化）","ザ行・ダ行の混同 [cite: 29]"
[cite_start]"火事","くゎじ","音韻（子音変化）","合拗音 /kwa/ の存在、高齢層で顕著 [cite: 32]"
[cite_start]"酒を","さきゅー","文法（助詞）","対格助詞「を」の融合 [cite: 69]"
[cite_start]"花を","はのー","文法（助詞）","対格助詞「を」の融合 [cite: 69]"
[cite_start]"みかんは","みかんな","文法（助詞）","主題助詞「は」→「な」 [cite: 70]"
[cite_start]"雨が降っている","雨い降りよる","文法（助詞）","主格助詞「が」→「い」（県南部） [cite: 71, 106]"
[cite_start]"大分へ","大分に","文法（助詞）","方向助詞「へ」は用いず「に」を使用 [cite: 72]"
[cite_start]"大分に","おいてー","文法（助詞）","方向助詞「に」の融合 [cite: 72]"
[cite_start]"どうして","どうしち","文法（助詞）","接続助詞「て」→「ち」 [cite: 74]"
[cite_start]"明日早いから","明日早いけん","文法（助詞）","理由の助詞「から」→「けん」 [cite: 75]"
[cite_start]"違うよ！","違うっちゃ！","文法（助詞）","強調の終助詞 [cite: 78]"
[cite_start]"良いですよ","いいちこ","文法（助詞）","強調の終助詞（宇佐・中津地方） [cite: 79, 146]"
[cite_start]"今から帰るよ","今から帰るに","文法（助詞）","告知の終助詞 [cite: 81]"
[cite_start]"雨が降っている最中だ","雨が降りよる","文法（アスペクト）","進行相 [cite: 86]"
[cite_start]"宿題はしてある","宿題しちょる","文法（アスペクト）","完了相 [cite: 87]"
[cite_start]"寝ない","寝らん","文法（動詞活用）","一段動詞のラ行五段化、若年層で顕著 [cite: 53]"
[cite_start]"見ない","見らん","文法（動詞活用）","一段動詞のラ行五段化、若年層で顕著 [cite: 53]"
[cite_start]"書かない","書かん","文法（動詞活用）","否定の助動詞「ん」 [cite: 55]"
[cite_start]"（来る）来い","きい","文法（動詞活用）","カ行変格活用の命令形 [cite: 58]"
[cite_start]"（する）しろ","しい","文法（動詞活用）","サ行変格活用の命令形 [cite: 59]"
[cite_start]"きれいだ","うつくしい","文法（形容詞）","形容動詞を形容詞で表現 [cite: 62]"
[cite_start]"静かだ","しずかい","文法（形容詞）","形容動詞の形容詞化 [cite: 63]"
[cite_start]"面倒だ","よだきい","語彙（基本）","古語「よだけし」に由来 [cite: 110]"
"かわいそうだ","むげねー","語彙（基本）",""
[cite_start]"とても","しんけん","語彙（基本）","元は「しらしんけん」の短縮形 [cite: 112]"
[cite_start]"片付ける","なおす","語彙（基本）","標準語の「治す」とは意味が異なる [cite: 113]"
"可愛らしい","えらしい","語彙（基本）",""
[cite_start]"うるさい","しゃあしい","語彙（基本）","「せわしい」からの転訛とも言われる [cite: 115]"
[cite_start]"気味が悪い","いびしー","語彙（基本）","古語「いぶせし」の転 [cite: 116]"
"仲間に入る","かたる","語彙（基本）",""
"（場所を）移動する","ずる","語彙（基本）",""
[cite_start]"（物を）倒す、こぼす","かやす","語彙（基本）","方言だと気づかれにくい単語の一つ [cite: 119]"
"腹が立つ","ぐらぐらくる","語彙（感情）",""
[cite_start]"大変だ","やおねー","語彙（感情）","困難な状況に対して [cite: 126]"
"しつこい","ひちくじい","語彙（感情）",""
[cite_start]"帰る","いぬる","語彙（古語）","ナ行変格活用動詞 [cite: 134]"
"大声で叫ぶ","おらぶ","語彙（古語）",""
"（物が）壊れる","くゆる","語彙（古語）",""
"そば、近く","ねき","語彙（古語）",""
[cite_start]"ぷっちょを取っておいてって言ったのに、どうして取っておいてくれなかったの？","ぷっちょとっちょってっちいっちょったんになんでとっちょってくれんかったん？","会話例","引用「っち」と完了相「ちょる」の連続 [cite: 240]"
"今日はひどく暑いですね","今日、えれえ暑いのう","会話例",""
"本当ですね。こんなに暑いと、何もする気が起きませんね","まことじゃ。こげえ暑いと、よだきいなあ","会話例",""
[cite_start]"何をしているの？","何しよるん？","会話例","進行相「よる」の使用 [cite: 242]"
[cite_start]"手紙を書いているところだよ","手紙書きよる","会話例","進行相「よる」の使用 [cite: 243]"
[cite_start]"もう（書き終えて）書いてあるから、すぐ行くよ","もう書きちょるけん、すぐ行くわ","会話例","完了相「ちょる」の使用 [cite: 243]"
